Moleculas,Structure of Smiles [idcode],Smiles,Compound,Link,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,LE from Moleculas,LLE from Moleculas,LELP from Moleculas,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Nasty Functions,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Carbon Fraction,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,Stereo Configuration,Globularity SVD,Globularity Vol,VDW-Surface,VDW-Volume
34,ehRPL@@@FmlbbdRebTJTfbflRrTxDLlBbJzjjjjfjjjjijZD`QDDWdbRTJPr@@,C[C@@]1([C@H](C[C@@H]2O)[C@@H](CCC=C(C)C)CO)[C@]2(C)C2=CC[C@@H](C(C)(C)[C@H](CC3)O)[C@@]3(C)C2=CC1,Pinicolol B,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out34.smi.png,456.708,456.708,456.360.345,6.3674,-5.319,3,3,352.72,11.142,60.69,-52.094,31.048,1.1011,20.508,none,none,none,none,,48.485,29.714,,1,33,3,0,3,8,5,4,0,0.8,27,2,4,4,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,41.131,72.062,485.62,615.31
35,edZPF@@@CHfamlbbTTTRdRvdVsdtJbe@f`WfRUSSUUUUUUUUUUUiaJIpaIhkHEDeuIe]@@,CC(C)[C@@H](C)C[C@H]([C@@](C)([C@@H](CC1)[C@@](C)(CC[C@H]([C@@](C)(C[C@@H]2O)[C@H]3C[C@H]2O)C2=CC3=O)[C@]12O)O)O,Polyporusterone A,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out35.smi.png,478.667,478.667,47.832.944,3.1356,-4.353,6,5,345.23,2.275,118.22,-65.944,30.084,4.3203,10.423,high,high,none,none,,47.059,3.396,,1,34,6,0,6,11,5,4,0,89.286,30,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,37.785,72.476,490.55,630.16
36,edZPF@@@CHfamlbbTTTRdRvdVsdtJfe@f`WfRUSSUUUUUUUUMUTiaJIpaIhkHEDeuId@@,CC(C)C(C[C@H]([C@@](C)([C@@H](CC1)[C@@](C)(CC[C@H]([C@@](C)(C[C@@H]2O)[C@H]3C[C@H]2O)C2=CC3=O)[C@]12O)O)O)=C,Polyporusterone B,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out36.smi.png,476.651,476.651,47.631.379,3.3382,-4.256,6,5,343.22,22.883,118.22,-1.636,30.035,4.1055,11.114,high,high,none,none,,47.059,35.636,,1,34,6,0,6,10,5,4,0,82.143,28,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,37.523,7.222,490.1,625.92
37,edVPF@@@CHfamlbbTTTRdRvdVsdtJbe@f`WfRUVqsSUUUUUUUUUUUFXRb\HRZJrAQI]RYGRz@@,CC(C)[C@@H](C)[C@@H]1O[C@H]1[C@@](C)([C@@H](CC1)[C@@](C)(CC[C@H]([C@@](C)(C[C@@H]2O)[C@H]3C[C@H]2O)C2=CC3=O)[C@]12O)O,Polyporusterone C,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out37.smi.png,476.651,476.651,47.631.379,2.7828,-4.435,6,4,341.77,24.312,110.52,1.0913,29.987,4.649,9.2801,high,high,none,none,oxiran/aziridine,47.059,32.779,,1,34,6,0,6,12,4,5,0,89.286,30,1,5,4,1,4,5,0,3,4,0,1,1,0,0,0,0,0,0,0,0,this enantiomer,41.478,72.019,495.8,634.11
38,ehZPJ@@@CHfelbbTTTRdRvdVsbaTThDtB|rRjVvZZjjjjjjjjjjcLIQNDIMEY@hdnhLmh]@@,CC(C)[C@@H](C)[C@@H]1O[C@H]1[C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@H]([C@@](C)(C[C@@H]2O)[C@H]3C[C@H]2O)C2=CC3=O)[C@]12O,Polyporusterone E,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out38.smi.png,460.652,460.652,460.318.875,3.6423,-4.885,5,3,337.51,20.737,90.29,51.725,30.847,3.7779,11.807,low,high,none,none,oxiran/aziridine,48.485,31.706,,1,33,5,0,5,12,4,5,0,89.286,29,1,5,4,1,4,5,0,3,4,0,1,1,0,0,0,0,0,0,0,0,this enantiomer,35.642,71.262,494.88,622.31
39,ehRPJ@@@CHfelbbTTTRdRvdVsbaTThDtB|rRjZZjjjjjjjjjjtpeDxPdtUdBbRz`rN`@,CC(C)[C@@H](C)C[C@H]([C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@H]([C@@](C)(C[C@@H]2O)[C@H]3C[C@H]2O)C2=CC3=O)[C@]12O)O,Polyporusterone F,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out39.smi.png,462.668,462.668,462.334.525,3.9951,-4.803,5,4,340.97,19.192,97.99,-13.656,30.801,3.4138,12.971,low,high,none,none,,48.485,34.834,,1,33,5,0,5,11,5,4,0,89.286,29,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,37.777,72.023,483.98,611.79
40,ehRPJ@@@CHfelbbTTTRdRvdVsbaTthDtB|rRjZZjjjjjjjfjjTpeDxPdtUdBbRz`r@@,CC(C)C(C[C@H]([C@@H](C)[C@@H](CC1)[C@@](C)(CC[C@H]([C@@](C)(C[C@@H]2O)[C@H]3C[C@H]2O)C2=CC3=O)[C@]12O)O)=C,Polyporusterone  G,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out40.smi.png,460.652,460.652,460.318.875,4.1977,-4.706,5,4,338.96,19.306,97.99,-22.573,30.755,3.2002,13.649,low,high,none,none,,48.485,36.538,,1,33,5,0,5,10,5,4,0,82.143,27,1,4,4,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,37.075,72.151,478.85,603.64
41,flm@P@@LbgHhhiieCDeJ\YqQk^ZZjjZfjjXeErBQh@,C[C@]([C@@H]1C(C(O)=O)=C(C)C[C@@H]1C1)([C@]11O[C@@H]1C1=O)C1=C,Pleurotellic Acid,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out41.smi.png,260.288,260.288,26.010.486,9.586,-2.251,4,1,175.03,32.469,66.9,-23.239,53.339,6.4286,1.7972,none,none,none,none,oxiran/aziridine,42.105,17.848,,1,19,4,0,4,5,1,4,0,0.6,11,0,5,3,2,4,5,0,2,3,0,2,2,0,0,0,0,0,0,0,1,this enantiomer,49.155,79.016,282.09,312.84
42,f`qA@@@IML|{mrRmUUUSUTRBQJJR@@,CC(C)[C@@H](CC1)[C@H]2C=C(C)CC[C@H]2[C@@]1(C)O,(+)- torreyol,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out42.smi.png,222.37,222.37,222.198.365,3.5341,-3.292,1,1,182.05,71.958,20.23,-42.367,6.325,3.8427,5.5875,none,none,none,none,,4.375,29.105,70.595,1,16,1,0,1,4,1,2,0,86.667,14,1,2,2,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,52.616,80.671,279.39,318.06
43,f`iA@@@YEEHiXeCBBtZsjjjZjjbPVHIFP@,C[C@](CC1)(C[C@H]2CC3(C)C)C1=C(C)[C@@H]2[C@@H]3O,1-hidroxi-3-sterpureno,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out43.smi.png,220.355,220.355,220.182.715,3.3007,-3.207,1,1,164.67,79.553,20.23,-20.695,63.162,4.0658,5.2257,none,none,none,none,,4.375,97.367,,1,16,1,0,1,4,0,3,0,86.667,14,1,3,3,0,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,48.299,78.636,287.49,319.55
44,flm@P@@HeiIefyibLuXwkNZfjjjjjjDSIrFed@,C[C@H](CC[C@@]1(C2=C)O)[C@]34O[C@@H]4C(C)(C)C[C@@]13OC2=O,Alliacol A,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out44.smi.png,264.32,264.32,26.413.616,7.494,-2.504,4,1,178.7,30.101,59.06,-86.844,53.117,6.6071,1.4108,none,high,none,high,oxiran/aziridine,36.842,10.126,,1,19,4,0,4,5,0,4,0,0.8,15,1,5,2,3,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,this enantiomer,57.883,81.634,285.3,334.14
45,flm@P@@HUkHheEDeHd]BTuXwkNZfjjjjjbDWHZVP@,C[C@H](CCC1=C2CO)[C@]34O[C@@H]4C(C)(C)C[C@@]13OC2=O,Alliacol B,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out45.smi.png,264.32,264.32,26.413.616,7.387,-2.244,4,1,182.22,29.519,59.06,-11.696,53.047,6.6081,1.3925,none,high,none,high,oxiran/aziridine,42.105,17.374,,1,19,4,0,4,4,1,4,0,0.8,15,1,5,2,3,4,5,0,2,2,0,2,3,0,0,0,0,0,0,0,0,this enantiomer,42.873,78.762,293.27,330.03
46,en[PI@@@FNI@bi`R\bbbdTTbvbVbltTjfbaTDtLb\|brVvaqQqZZjjjZjjZfjijjjLpUDDVbLSd|TTZfr^fJ@@,C[C@@H]([C@H]([C@H]1[C@H](C)[C@@](C)([C@H]2C(C)(C)[C@H]2C2=O)C(C3=O)=C2O)[C@](C2=O)(O)O[C@]13O)[C@@](C)([C@H]1C(C)(C)[C@H]1C1=O)C2=C1O,Aurisin A,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out46.smi.png,540.607,540.607,540.235.935,1.7204,-4.139,9,4,331.78,34.529,158.43,-56.383,2.581,5.6168,6.6657,high,high,high,high,,33.333,17.753,,1,39,9,0,9,12,0,7,0,73.333,27,2,9,8,1,5,9,0,4,8,0,1,1,0,0,0,0,0,0,0,0,this enantiomer,51.652,71.468,521.84,677.08
47,efSPA@@@FNI@aol\bbbdTTbvbVUbbeTtTJ`fadSgdVTrpJLJKSUUUSUUMSUTuUUFXRbBKQFIr^JJUQYWQE@@,C[C@@H]([C@H]([C@H]1[C@H](C)[C@@](C)([C@H]2C(C)(C)[C@H]2C2=O)C(C3=O)=C2O)[C@@H](C2=O)O[C@]13O)[C@@](C)([C@H]1C(C)(C)[C@H]1C1=O)C2=C1O,Aurisin K,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out47.smi.png,524.608,524.608,52.424.102,2.1313,-4.456,8,3,327.52,30.978,138.2,-47.172,26.455,5.1966,8.0562,high,high,high,high,,34.211,16.753,,1,38,8,0,8,12,0,7,0,73.333,26,2,9,8,1,5,9,0,4,8,0,1,1,0,0,0,0,0,0,0,0,this enantiomer,44.762,70.693,519.15,660.96
48,fhy@`@@ZrJJZJIJWSEEFlyjfjZjjHaTPhZ@@,CC(C)(C1)[C@H]2[C@@H]1[C@@](C)(CC1=O)[C@H]1C(C=O)=CC2,Colibial,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out48.smi.png,232.322,232.322,23.214.633,2.1345,-3.002,2,0,171.38,15.218,34.14,-28.158,59.062,5.1843,3.614,none,none,none,high,,47.059,19.544,,1,17,2,0,2,4,1,3,0,73.333,11,1,3,3,0,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,47.142,80.937,272.76,308.35
49,eaSPA@@@DEAg`\Z\bbRdRarRRTfbfvbbeTTkDcgbVSTqKKTuUMUUUUUMUSTtbLJJYHiMIZGRE@@,C[C@@H]([C@@H](C[C@H]1OC(C)=O)[C@@](C)(CC2)[C@]1(C)C(CC[C@]1(C(C)(C)O3)O)=C2C=C1C=CC3=O)[C@H]([C@@H](C=C1C)O)OC1=O,Colossolactona H (Colo H),https://lmwdatabase.s3.eu-north-1.amazonaws.com/out49.smi.png,554.677,554.677,55.428.797,3.1573,-4.685,8,2,399.55,23.857,119.36,-43.425,2.507,4.1525,12.594,none,none,none,none,,425,22.079,,1,40,8,0,8,8,4,5,0,65.625,26,1,5,3,2,1,5,0,1,3,0,0,2,0,0,0,0,0,0,0,0,this enantiomer,42.962,69.077,549.92,695.95
50,ffc@P@@DegHhhmEEBhTdhsegQRuMUUUUUUQbxmIrb`@,CC(C)(C[C@@H](CC[C@]1(CC2=O)O)[C@H](C3)[C@]1(C)C(C)=C2O)[C@@H]3O,Connatus A,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out50.smi.png,308.416,308.416,30.819.876,2.1242,-3.186,4,3,219.29,23.868,77.76,49.614,45.528,5.1768,4.6657,none,none,none,none,,45.455,17.699,,1,22,4,0,4,5,0,3,0,83.333,18,1,3,3,0,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,66.356,80.377,331.73,409.31
51,fdeA`@@J]dTRbTRQTLIPVk^ZZjjjjjfEQBfdZ@@,CC(C)(C[C@H](C1)[C@@H]2[C@](C)([C@@H]3CO)C1=CC3=O)[C@@H]2O,Connatus B,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out51.smi.png,250.337,250.337,250.156.895,1.4947,-2.388,3,2,177.04,22.164,57.53,58.631,5.558,5.7977,2.6893,none,none,none,none,,44.444,11.855,,1,18,3,0,3,5,1,3,0,0.8,14,1,3,3,0,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,52.336,80.742,285.5,328.99
52,ffs@P@@^sWIEEDeMdeLdca`mVBgMAH@AQUTD@@,OCCCc(cc1)cc2c1oc(-c(cc1)cc3c1OCO3)c2,Demethoxyegonol,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out52.smi.png,296.321,296.321,29.610.486,4.26,-5.53,4,1,225.2,20.964,51.83,-6.695,45.422,3.024,9.3788,none,none,high,none,,63.636,33.268,77.436,1,22,4,0,4,0,4,4,15,22.222,7,0,4,2,2,0,1,3,0,0,2,0,1,1,0,0,0,0,0,0,0,,19.202,68.848,330.72,322.95
53,fa{AP@@\cWnRJJJISKKJYIDcIV|dmZBX@`JJj``@@,COc1c2oc(-c(cc3)cc4c3OCO4)cc2cc(CCCO)c1,Egonol,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out53.smi.png,326.347,326.347,326.115.425,4.19,-5.548,5,1,247.46,23.119,61.06,-65.084,41.589,3.0857,10.075,none,none,high,none,,58.333,31.329,80.599,1,24,5,0,5,0,5,4,15,26.316,9,0,4,2,2,0,1,3,0,0,2,0,1,1,0,0,0,0,0,0,0,,21.113,67.157,359.74,352.97
54,el^PE@@@LAEMKBaod\dTTRbRqrbRbRQTRTrhdrjFf^AaQjjjjj@HjX@bhbh`bDHUBdP@,COc1c2oc(-c(cc3)cc4c3OCO4)cc2cc(CCCO[C@@H]([C@@H]([C@H]2O)O)O[C@H](CO)[C@H]2O)c1,Egonol Glucoside,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out54.smi.png,488.487,488.487,48.816.825,2.3529,-5.248,10,4,349.27,33.358,140.21,-75.046,28.487,4.9147,8.2597,none,none,high,none,,54.286,40.424,86.559,1,35,10,0,10,5,8,5,15,0.44,20,0,5,2,3,1,2,3,0,0,2,1,2,1,0,0,0,0,0,0,0,this enantiomer,25.733,62.952,484.48,500.43
55,ekdPN@@@FODjailbbbbbfTTbRTuVlXxDTt\Lr\JjfZZjjjijjfjjeLIPnDHmDXkHyLdT`@,CC(C)(C([C@@]1([C@H](C=C(C)C)OO[C@H]([C@H]([C@H]2O[C@@H]22)[C@@H]3O)[C@@H]1[C@H]3[C@H]13)C3=O)=C1C2=O)OC,Henaciclinol,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out55.smi.png,402.441,402.441,402.167.855,1.3434,-2.961,7,1,264.25,32.859,94.59,-34.515,34.343,5.9162,3.9118,none,high,none,high,oxiran/aziridine; peroxo,34.483,31.534,,1,29,7,0,7,10,3,6,0,72.727,21,2,6,4,2,4,6,0,2,4,0,2,2,0,0,0,0,0,0,0,0,this enantiomer,54.755,79.578,355.94,448.14
56,fduA`@@LmdTTTtrabtiqgEF]yijjjjjifIQ\`ejF`@,CC(C)(C[C@H](C[C@@]12O[C@@H]2C2=O)[C@@H]3[C@]1(C)C2=C)[C@@H]3O,hypnophilin,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out56.smi.png,248.321,248.321,248.141.245,1.3786,-2.694,3,1,169.53,2.583,49.83,-39.591,5.527,5.8732,2.4943,none,none,none,none,oxiran/aziridine,44.444,0,,1,18,3,0,3,6,0,4,0,0.8,14,1,5,3,2,5,5,0,3,3,0,2,2,0,0,0,0,0,0,0,0,this enantiomer,5.052,81.394,281.6,326.23
57,fdeA`@@LcdTTTbbtrUyIVcVZfijjjZFD@,C[C@@](C1(CC1)C(C)=C1C2=CC(C)=C1CO)(C2=O)O,Irofulven,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out57.smi.png,246.305,246.305,246.125.595,1.594,-1.72,3,2,172.88,22.698,57.53,2.5988,55.212,5.6501,2.8871,none,none,none,none,,44.444,21.468,89.423,1,18,3,0,3,1,1,3,0,53.333,10,1,3,3,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,52.881,75.927,290.37,307.75
58,fdeA`@@V|dlsSJBdIVcLuUUMUTPbhaQT@@,C[C@@]1(C2)[C@@]2(C=O)C(C=O)=C(CC(C)(C)C2)[C@@H]2[C@@H]1O,Merulidial,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out58.smi.png,248.321,248.321,248.141.245,1.0122,-2.53,3,1,175.64,22.307,54.37,-40.115,55.154,6.2244,1.8352,high,none,none,high,,44.444,30.277,,1,18,3,0,3,4,2,3,0,73.333,12,1,4,4,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,49.234,76.756,296.36,322.53
59,f`a@P@@\UyIYV]vVBX@bii@Pu@,C/C(/C=O)=C\Cc1cc(C=O)cc(O)c1O,Montadial A,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out59.smi.png,220.223,220.223,22.007.356,1.785,-1.995,4,2,175.77,29.743,74.6,-49.268,61.985,5.4441,2.8798,none,none,none,high,,625,46.933,6.593,1,16,4,0,4,0,4,1,6,16.667,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,38.926,73.796,256.27,244.48
60,ff}AP@@L\VnQQQSQISQQQFQkAZZjffjjjfEQBehEPT`,CC(C)(C[C@@H]1C(C([C@@H](/C=C(/C)\[C@H]2O)OC(C)=O)=O)=C)[C@H]1[C@@H]2O,Nematolin,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out60.smi.png,308.373,308.373,308.162.375,1.8523,-2.527,5,2,227.87,27.331,83.83,-35.889,45.034,5.3695,4.1131,none,none,none,none,,45.455,29.137,81.194,1,22,5,0,5,5,2,2,0,64.706,14,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,73.902,78.742,328.28,390.7
61,ff}AP@@L\VnQQQSQISQQQFQkAZZjffjihfIRBeiAR@,CC(C)(C[C@H]1C(C([C@H](/C=C(/C)\C2=O)OC(C)=O)=O)=C)[C@H]1[C@@H]2O,Naematolone,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out61.smi.png,306.357,306.357,306.146.725,1.8211,-2.578,5,1,226.77,27.437,80.67,-36.472,44.989,5.3936,4.0478,none,none,none,none,,45.455,28.618,81.339,1,22,5,0,5,4,2,2,0,58.824,12,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,42.366,7.553,339.26,385.6
62,fdeA`@@VcdTRbbfbaahqgG^ZZjjjjifHq\PiiN`@,C[C@@H](C[C@H]([C@@H]1O)O)[C@@](C)([C@H]2C(C)(C)[C@@H]22)C1=CC2=O,Nambinona C,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out62.smi.png,250.337,250.337,250.156.895,1.5693,-2.496,3,2,174.28,22.515,57.53,-16.104,54.933,5.6383,2.8567,high,high,high,high,,44.444,17.578,,1,18,3,0,3,6,0,3,0,0.8,14,1,4,4,0,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,56.393,7.919,293.27,332.71
63,fcAp@@HDzJVyEDiDeCEElicLdbTiqQoAZjjijfjYjjfXaIQLRizP{@,CCC/C=C/C(O[C@H](C(C)(C)C[C@@H]1[C@](C2)([C@@]2([C@@H](O)O2)C(C=O)=C3)C2=O)[C@]13O)=O,Pilatina,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out63.smi.png,390.43,390.43,390.167.855,1.175,-2.933,7,2,269.41,31.669,110.13,-85.523,3.528,6.0257,3.3305,high,none,high,high,,0.5,25.853,,1,28,7,0,7,6,6,4,0,66.667,18,1,6,4,2,4,6,0,2,4,0,2,2,0,0,0,0,0,0,0,0,this enantiomer,43.522,70.754,408.4,461.76
64,fb}@P@@DegHhhiLdTeDeQcIZMzKSUUUMUUTpjIdtcH@,C[C@](C[C@H]1C(CO)=C(C)CC[C@@H]1C1)([C@@]11O[C@@H]1C1=O)C1=O,Pleurotelol,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out64.smi.png,276.331,276.331,27.613.616,1.0407,-2.398,4,1,193.56,2.936,66.9,-3.665,49.345,6.1531,2.109,none,none,none,none,oxiran/aziridine,0.45,19.006,,1,20,4,0,4,5,1,4,0,0.75,14,0,5,3,2,4,5,0,2,3,0,2,2,0,0,0,0,0,0,0,0,this enantiomer,57.384,76.091,311.22,342.58
65,f`qA@@@IML|{mrRmUUUSUTRBPjJT@@,CC(C)[C@H](CC1)[C@H]2C=C(C)CC[C@@H]2[C@@]1(C)O,Î±-cadinol,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out65.smi.png,222.37,222.37,222.198.365,3.5341,-3.292,1,1,182.05,71.958,20.23,-42.367,61.624,3.653,5.735,none,none,none,none,,4.375,27.304,70.595,1,16,1,0,1,4,1,2,0,86.667,14,1,2,2,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,this enantiomer,47.648,81.214,275.62,314.84
66,fbmAP@@\dXNQQQJJKPsIYdeVSehFHhB@`@@,Oc(cc(c1c2O)OC(c3ccccc3)=CC1=O)c2O,Baicalein,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out66.smi.png,270.239,270.239,270.052.825,2.3357,-2.856,5,3,191.03,32.634,86.99,28.194,49.254,4.8448,4.7422,none,none,none,none,,0.55,21.715,80.343,1,20,5,0,5,0,1,3,12,0,4,2,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,,1.582,7.282,275.72,267.45
67,fbmAP@@\dXNQQQJJKPsIYdeVSehFHhB@`@@,Oc(cc(c1c2O)OC(c3ccccc3)=CC1=O)c2O,Fornecine A,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out67.smi.png,270.239,270.239,270.052.825,2.3357,-2.856,5,3,191.03,32.634,86.99,28.194,49.209,4.8382,4.7465,none,none,none,none,,0.55,21.715,80.343,1,20,5,0,5,0,1,3,12,0,4,2,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,,14.854,72.827,275.64,267.38
68,dklJ@@j]MIYf{~U``hh@@,OCc(c(C=O)c1O)cc(O)c1O,Fornecine B,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out68.smi.png,184.147,184.147,184.037.175,-415,-936,5,4,131.96,49.591,97.99,-42.546,75.638,7.209,-54.867,none,none,none,none,,53.846,36.583,67.674,1,13,5,0,5,0,2,1,6,125,5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,22.238,79.196,196.73,182.82
69,edVPI@@@DIEOCg`X\bbTTRdvTRQbfRRfauGDac`TuvwsTsUSMT@@DQUHHLPqPFP,CC(O[C@]12C(C(OC(/C=C/c(cc3)cc(O)c3O)=C3)=O)=C3O[C@@H]2c(cc2)cc(O)c2O)=CC1=O,Inoscavin A,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out69.smi.png,462.409,462.409,462.095.085,1.8991,-3.6,9,4,317.43,34.174,142.75,-49.347,28.895,5.2621,6.5725,none,none,none,none,,0.5,19.066,,1,34,9,0,9,2,3,5,12,0.12,10,0,5,2,3,0,3,2,0,0,2,0,3,0,0,0,0,0,0,0,0,this enantiomer,2.802,65.231,438.19,454.3
70,fby@`@@HR[UUUUUZjjffj`HTvP,CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,"(Z,Z)-9,12-Octadecadienoic acid",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out70.smi.png,280.45,280.45,28.024.023,6.4669,-4.323,2,1,267.98,97.545,37.3,-25.561,49.078,688,13.177,none,none,high,none,,0.95,64.182,31.389,1,20,2,0,2,0,14,0,0,72.222,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,25.907,66.287,360.73,347.53
71,fby@`@@HR[UUUUUZjjjjj`@@,CCCCCCCCCCCCCCCCCC(O)=O,1-Octadecanoic acid,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out71.smi.png,284.482,284.482,28.427.153,6.9713,-4.779,2,1,270.02,96.808,37.3,-25.216,49.036,17.744,14.217,high,high,none,high,,0.95,52.228,19.804,1,20,2,0,2,0,16,0,0,94.444,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,20.028,65.591,371.39,357.39
72,deTL@@z\bTRTKBpAD@@,Oc(ccc(C=O)c1)c1O,"3,4-dihydroxy benzaldehyde",https://lmwdatabase.s3.eu-north-1.amazonaws.com/out72.smi.png,138.122,138.122,138.031.695,9.015,-1.348,3,2,105.5,37.194,57.53,-41.407,97.989,6.2412,0.92,high,none,none,high,,0.7,25.651,54.161,1,10,3,0,3,0,1,1,6,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,32.005,82.029,161.19,142.93
73,deTL@@z\bTRTKBpAD@@,Oc(ccc(C=O)c1)c1O,Hericerina,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out73.smi.png,138.122,138.122,138.031.695,9.015,-1.348,3,2,105.5,37.194,57.53,-41.407,97.907,6.2352,92.078,high,none,none,high,,0.7,25.651,54.161,1,10,3,0,3,0,1,1,6,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,50.245,81.819,161.84,143.24
74,deTL@@z\bTRTKBpAD@@,Oc(ccc(C=O)c1)c1O,Hericerine A,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out74.smi.png,138.122,138.122,138.031.695,9.015,-1.348,3,2,105.5,37.194,57.53,-41.407,97.826,6.2293,92.154,high,none,none,high,,0.7,25.651,54.161,1,10,3,0,3,0,1,1,6,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,34.298,82.084,161.31,143.23
75,deTL@@RTfyWxV`@`@@,OC(c(cc1)ccc1O)=O,p-Hydroxybenzoic Acid,https://lmwdatabase.s3.eu-north-1.amazonaws.com/out75.smi.png,138.122,138.122,138.031.695,799,-1.333,3,2,103.71,37.836,57.53,-18.442,97.746,6.3259,81.743,high,none,none,none,,0.7,33.711,52.781,1,10,3,0,3,0,1,1,6,0,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,"2,07E-01",84.367,144.96,127.14
